booking_id,guest_id,resort_id,agent_id,booking_date,checkin_date,checkout_date,room_type,nights,nightly_rate_cents,booked_amount_cents,channel,status
B00000001,G002148,R0026,A0009,2025-08-05,2025-08-09,2025-08-12,Standard King,3,22700,68100,Corporate,completed
B00000002,G001626,R0030,A0033,2025-10-12,2026-02-08,2026-02-10,Ocean Suite,2,33900,67800,OTA,completed
B00000003,G002822,R0017,A0048,2024-04-02,2024-05-09,2024-05-10,Standard Double,1,13900,13900,OTA,cancelled
B00000004,G002669,R0014,A0018,2025-02-23,2025-04-30,2025-05-01,Villa,1,80000,80000,Travel Agent,completed
B00000005,G001252,R0039,A0052,2025-12-30,2026-03-31,2026-04-11,Standard King,11,23300,256300,Corporate,completed
B00000006,G002714,R0001,A0033,2025-01-18,2025-03-31,2025-04-11,Standard Double,11,14800,162800,Travel Agent,completed
B00000007,G002913,R0017,A0042,2025-10-29,2025-12-07,2025-12-11,Standard King,4,22100,88400,Corporate,confirmed
B00000008,G002038,R0002,A0042,2024-10-29,2024-12-02,2024-12-09,Standard Double,7,18200,127400,OTA,no_show
B00000009,G002190,R0015,A0044,2025-10-15,2026-01-24,2026-02-01,Villa,8,71100,568800,OTA,confirmed
B00000010,G001060,R0031,A0009,2025-07-26,2025-11-01,2025-11-04,Villa,3,77900,233700,Travel Agent,completed
B00000011,G001068,R0022,A0024,2025-08-22,2025-09-29,2025-10-07,Villa,8,65100,520800,Corporate,completed
B00000012,G001223,R0025,A0034,2025-02-27,2025-03-06,2025-03-20,Villa,14,55100,771400,Direct,completed
B00000013,G000332,R0012,A0050,2025-05-14,2025-06-26,2025-07-07,Presidential,11,120800,1328800,Direct,completed
B00000014,G002517,R0006,A0009,2025-03-20,2025-06-10,2025-06-17,Standard Double,7,19900,139300,OTA,completed
B00000015,G000074,R0034,A0013,2025-11-23,2025-11-24,2025-12-05,Ocean Suite,11,33700,370700,Corporate,completed
B00000016,G001192,R0003,A0020,2025-04-11,2025-07-14,2025-07-23,Standard Double,9,15200,136800,Corporate,no_show
B00000017,G001653,R0013,A0011,2024-01-20,2024-02-19,2024-02-23,Ocean Suite,4,32000,128000,Travel Agent,completed
B00000018,G002191,R0017,A0050,2025-09-30,2025-10-07,2025-10-17,Presidential,10,141700,1417000,Travel Agent,completed
B00000019,G001944,R0036,A0017,2025-12-19,2026-01-08,2026-01-12,Ocean Suite,4,40700,162800,OTA,completed
B00000020,G002945,R0007,A0033,2025-09-24,2025-10-10,2025-10-15,Standard King,5,16200,81000,Direct,completed
B00000021,G000657,R0027,A0019,2024-02-10,2024-04-21,2024-04-29,Villa,8,71600,572800,OTA,completed
B00000022,G000369,R0032,A0010,2025-06-07,2025-06-17,2025-06-29,Ocean Suite,12,45500,546000,Travel Agent,completed
B00000023,G002773,R0024,A0052,2024-11-16,2025-01-10,2025-01-22,Standard King,12,22900,274800,Corporate,completed
B00000024,G001099,R0029,A0040,2024-04-05,2024-05-23,2024-06-06,Standard King,14,16300,228200,OTA,completed
B00000025,G000543,R0011,A0008,2025-12-13,2026-03-16,2026-03-17,Presidential,1,152600,152600,Direct,cancelled
B00000026,G002804,R0040,A0002,2024-05-13,2024-07-14,2024-07-22,Standard King,8,19000,152000,Direct,completed
B00000027,G002143,R0022,A0034,2025-12-05,2026-03-05,2026-03-15,Standard King,10,21200,212000,Direct,completed
B00000028,G002511,R0036,A0058,2024-02-25,2024-02-27,2024-03-09,Villa,11,66100,727100,OTA,completed
B00000029,G002077,R0018,A0004,2024-08-16,2024-10-26,2024-11-06,Standard Double,11,18800,206800,Direct,completed
B00000030,G002677,R0008,A0032,2024-01-19,2024-02-02,2024-02-09,Standard Double,7,16900,118300,Direct,completed
B00000031,G001489,R0030,A0022,2024-02-25,2024-06-09,2024-06-13,Ocean Suite,4,35500,142000,Corporate,completed
B00000032,G001399,R0015,A0001,2024-12-29,2025-04-15,2025-04-26,Presidential,11,119500,1314500,OTA,confirmed
B00000033,G001042,R0027,A0007,2025-09-17,2025-10-13,2025-10-17,Standard King,4,22900,91600,Direct,confirmed
B00000034,G002594,R0003,A0060,2025-11-19,2026-02-03,2026-02-05,Ocean Suite,2,37600,75200,Travel Agent,cancelled
B00000035,G002397,R0028,A0054,2025-05-09,2025-09-05,2025-09-14,Ocean Suite,9,45600,410400,Travel Agent,completed
B00000036,G001319,R0039,A0057,2025-05-31,2025-09-21,2025-09-28,Standard Double,7,17300,121100,Travel Agent,completed
B00000037,G001691,R0009,A0009,2025-09-08,2025-12-07,2025-12-19,Standard Double,12,19000,228000,OTA,completed
B00000038,G001191,R0040,A0046,2025-12-04,2026-01-18,2026-01-29,Standard King,11,21600,237600,Loyalty,completed
B00000039,G002388,R0036,A0031,2025-08-07,2025-11-01,2025-11-13,Standard Double,12,18300,219600,Corporate,completed
B00000040,G002746,R0010,A0004,2024-02-27,2024-03-24,2024-03-29,Ocean Suite,5,32500,162500,Direct,completed
B00000041,G001854,R0003,A0023,2024-04-14,2024-07-02,2024-07-16,Ocean Suite,14,39500,553000,Direct,completed
B00000042,G001563,R0004,A0060,2025-01-31,2025-03-26,2025-04-08,Presidential,13,120700,1569100,OTA,completed
B00000043,G002411,R0024,A0049,2025-07-13,2025-10-16,2025-10-26,Standard King,10,21800,218000,Direct,completed
B00000044,G000533,R0036,A0017,2024-06-13,2024-08-27,2024-09-10,Standard King,14,18200,254800,Travel Agent,completed
B00000045,G002712,R0040,A0054,2024-11-04,2025-01-06,2025-01-19,Standard Double,13,15400,200200,Corporate,completed
B00000046,G002225,R0011,A0027,2025-07-03,2025-08-24,2025-08-26,Standard King,2,23200,46400,Travel Agent,completed
B00000047,G002740,R0001,A0008,2024-12-20,2025-02-16,2025-02-20,Villa,4,69400,277600,Travel Agent,cancelled
B00000048,G001051,R0008,A0025,2025-07-07,2025-10-08,2025-10-13,Standard King,5,19900,99500,Corporate,completed
B00000049,G002105,R0013,A0021,2024-03-25,2024-04-07,2024-04-10,Presidential,3,148300,444900,OTA,completed
B00000050,G002879,R0014,A0035,2025-03-21,2025-06-12,2025-06-26,Villa,14,73400,1027600,Direct,completed
B00000051,G000289,R0017,A0036,2025-08-11,2025-11-25,2025-11-29,Villa,4,63200,252800,OTA,completed
B00000052,G002399,R0040,A0005,2024-02-16,2024-05-16,2024-05-30,Standard King,14,23600,330400,Direct,confirmed
B00000053,G001619,R0029,A0025,2025-11-07,2025-11-11,2025-11-19,Standard King,8,17200,137600,Travel Agent,confirmed
B00000054,G002268,R0024,A0001,2025-07-22,2025-08-10,2025-08-12,Standard King,2,20400,40800,OTA,completed
B00000055,G000660,R0033,A0010,2024-07-07,2024-08-05,2024-08-15,Ocean Suite,10,33100,331000,Direct,confirmed
B00000056,G000403,R0005,A0017,2024-07-21,2024-10-22,2024-11-01,Standard Double,10,15200,152000,Direct,completed
B00000057,G002525,R0029,A0022,2025-11-06,2025-12-16,2025-12-28,Standard Double,12,16900,202800,OTA,completed
B00000058,G002625,R0015,A0046,2025-03-22,2025-04-27,2025-05-11,Standard Double,14,17800,249200,OTA,completed
B00000059,G002485,R0012,A0042,2024-03-24,2024-07-10,2024-07-15,Villa,5,55200,276000,OTA,completed
B00000060,G002417,R0038,A0026,2024-08-05,2024-11-30,2024-12-01,Standard Double,1,16800,16800,Loyalty,completed
B00000061,G001192,R0038,A0047,2024-05-17,2024-07-16,2024-07-25,Standard Double,9,15700,141300,OTA,completed
B00000062,G002318,R0012,A0037,2025-11-06,2026-02-26,2026-03-01,Ocean Suite,3,38200,114600,OTA,completed
B00000063,G000847,R0003,A0043,2025-06-14,2025-10-09,2025-10-22,Standard Double,13,16200,210600,OTA,completed
B00000064,G002408,R0025,A0024,2025-10-31,2026-02-23,2026-03-09,Standard King,14,17500,245000,Loyalty,completed
B00000065,G002056,R0039,A0001,2024-05-22,2024-07-18,2024-07-21,Standard King,3,19900,59700,Direct,completed
B00000066,G000465,R0022,A0047,2025-05-08,2025-08-03,2025-08-11,Standard Double,8,17100,136800,Travel Agent,completed
B00000067,G002345,R0033,A0003,2024-05-30,2024-06-07,2024-06-10,Standard King,3,16900,50700,Loyalty,completed
B00000068,G002485,R0014,A0029,2025-04-27,2025-08-17,2025-08-25,Standard King,8,22700,181600,Travel Agent,confirmed
B00000069,G001858,R0022,A0060,2025-09-02,2025-11-17,2025-11-19,Standard King,2,18700,37400,Direct,completed
B00000070,G000160,R0040,A0039,2025-06-28,2025-09-01,2025-09-14,Standard King,13,19600,254800,Direct,completed
B00000071,G002171,R0003,A0045,2025-03-15,2025-04-14,2025-04-27,Standard Double,13,18500,240500,OTA,confirmed
B00000072,G000344,R0015,A0059,2024-10-17,2025-01-02,2025-01-11,Standard Double,9,14100,126900,Travel Agent,confirmed
B00000073,G001294,R0014,A0045,2025-02-22,2025-04-10,2025-04-12,Standard King,2,21100,42200,Direct,confirmed
B00000074,G000835,R0026,A0049,2025-02-27,2025-05-09,2025-05-22,Standard Double,13,14000,182000,OTA,completed
B00000075,G000879,R0011,A0007,2025-06-04,2025-07-26,2025-08-08,Standard King,13,20200,262600,Travel Agent,confirmed
B00000076,G002459,R0031,A0060,2025-03-21,2025-04-02,2025-04-04,Standard King,2,18600,37200,Travel Agent,confirmed
B00000077,G000718,R0039,A0004,2025-10-17,2025-12-20,2025-12-28,Standard King,8,22900,183200,Loyalty,completed
B00000078,G000980,R0003,A0024,2025-11-01,2025-11-02,2025-11-05,Standard King,3,17700,53100,OTA,completed
B00000079,G000370,R0005,A0059,2025-07-16,2025-08-22,2025-09-03,Ocean Suite,12,45700,548400,OTA,cancelled
B00000080,G000437,R0027,A0033,2025-07-26,2025-08-05,2025-08-14,Standard King,9,23800,214200,Corporate,cancelled
B00000081,G002844,R0037,A0017,2025-03-29,2025-05-17,2025-05-27,Standard Double,10,14500,145000,OTA,confirmed
B00000082,G002596,R0005,A0025,2024-08-13,2024-11-08,2024-11-20,Standard King,12,18100,217200,Loyalty,completed
B00000083,G001401,R0026,A0044,2024-03-18,2024-05-28,2024-05-31,Standard Double,3,15400,46200,Corporate,completed
B00000084,G001088,R0016,A0056,2024-07-30,2024-08-29,2024-09-02,Ocean Suite,4,44300,177200,OTA,confirmed
B00000085,G001976,R0035,A0003,2025-01-15,2025-04-05,2025-04-11,Standard Double,6,20100,120600,Corporate,confirmed
B00000086,G000222,R0037,A0009,2025-06-22,2025-10-03,2025-10-10,Standard Double,7,16800,117600,OTA,completed
B00000087,G001293,R0034,A0030,2025-12-06,2025-12-08,2025-12-09,Ocean Suite,1,36300,36300,Direct,completed
B00000088,G000754,R0022,A0024,2025-05-25,2025-07-19,2025-07-23,Standard Double,4,18300,73200,OTA,completed
B00000089,G000966,R0018,A0052,2025-07-22,2025-09-16,2025-09-30,Standard Double,14,13800,193200,Loyalty,completed
B00000090,G002952,R0034,A0035,2024-11-19,2025-02-28,2025-03-08,Standard King,8,20300,162400,OTA,completed
B00000091,G002580,R0031,A0054,2024-04-08,2024-06-05,2024-06-17,Standard King,12,18500,222000,OTA,cancelled
B00000092,G002363,R0039,A0013,2025-08-12,2025-11-04,2025-11-15,Standard Double,11,20000,220000,Direct,completed
B00000093,G002588,R0019,A0030,2024-05-28,2024-09-17,2024-09-20,Standard Double,3,19700,59100,OTA,completed
B00000094,G001298,R0015,A0021,2025-10-30,2025-12-07,2025-12-19,Standard King,12,21100,253200,Direct,completed
B00000095,G002981,R0002,A0009,2024-08-28,2024-11-21,2024-11-26,Villa,5,72000,360000,Direct,completed
B00000096,G001627,R0002,A0050,2025-06-20,2025-09-26,2025-09-28,Standard King,2,20800,41600,Direct,cancelled
B00000097,G000699,R0009,A0034,2024-01-30,2024-02-04,2024-02-15,Standard Double,11,19600,215600,Corporate,completed
B00000098,G002605,R0030,A0041,2025-07-31,2025-09-25,2025-10-04,Standard Double,9,16700,150300,Loyalty,completed
