commission_id,booking_id,agent_id,commission_rate,commission_amount_cents
C00000001,B00000001,A0009,0.05,3405
C00000002,B00000002,A0033,0.15,10170
C00000003,B00000003,A0048,0.15,2085
C00000004,B00000004,A0018,0.1,8000
C00000005,B00000005,A0052,0.05,12815
C00000006,B00000006,A0033,0.1,16280
C00000007,B00000007,A0042,0.05,4420
C00000008,B00000008,A0042,0.15,19110
C00000009,B00000009,A0044,0.15,85320
C00000010,B00000010,A0009,0.1,23370
C00000011,B00000011,A0024,0.05,26040
C00000012,B00000012,A0034,0.02,15428
C00000013,B00000013,A0050,0.02,26576
C00000014,B00000014,A0009,0.15,20895
C00000015,B00000015,A0013,0.05,18535
C00000016,B00000016,A0020,0.05,6840
C00000017,B00000017,A0011,0.1,12800
C00000018,B00000018,A0050,0.1,141700
C00000019,B00000019,A0017,0.15,24420
C00000020,B00000020,A0033,0.02,1620
C00000021,B00000021,A0019,0.15,85920
C00000022,B00000022,A0010,0.1,54600
C00000023,B00000023,A0052,0.05,13740
C00000024,B00000024,A0040,0.15,34230
C00000025,B00000025,A0008,0.02,3052
C00000026,B00000026,A0002,0.02,3040
C00000027,B00000027,A0034,0.02,4240
C00000028,B00000028,A0058,0.15,109065
C00000029,B00000029,A0004,0.02,4136
C00000030,B00000030,A0032,0.02,2366
C00000031,B00000031,A0022,0.05,7100
C00000032,B00000032,A0001,0.15,197175
C00000033,B00000033,A0007,0.02,1832
C00000034,B00000034,A0060,0.1,7520
C00000035,B00000035,A0054,0.1,41040
C00000036,B00000036,A0057,0.1,12110
C00000037,B00000037,A0009,0.15,34200
C00000038,B00000038,A0046,0.03,7128
C00000039,B00000039,A0031,0.05,10980
C00000040,B00000040,A0004,0.02,3250
C00000041,B00000041,A0023,0.02,11060
C00000042,B00000042,A0060,0.15,235365
C00000043,B00000043,A0049,0.02,4360
C00000044,B00000044,A0017,0.1,25480
C00000045,B00000045,A0054,0.05,10010
C00000046,B00000046,A0027,0.1,4640
C00000047,B00000047,A0008,0.1,27760
C00000048,B00000048,A0025,0.05,4975
C00000049,B00000049,A0021,0.15,66735
C00000050,B00000050,A0035,0.02,20552
C00000051,B00000051,A0036,0.15,37920
C00000052,B00000052,A0005,0.02,6608
C00000053,B00000053,A0025,0.1,13760
C00000054,B00000054,A0001,0.15,6120
C00000055,B00000055,A0010,0.02,6620
C00000056,B00000056,A0017,0.02,3040
C00000057,B00000057,A0022,0.15,30420
C00000058,B00000058,A0046,0.15,37380
C00000059,B00000059,A0042,0.15,41400
C00000060,B00000060,A0026,0.03,504
C00000061,B00000061,A0047,0.15,21195
C00000062,B00000062,A0037,0.15,17190
C00000063,B00000063,A0043,0.15,31590
C00000064,B00000064,A0024,0.03,7350
C00000065,B00000065,A0001,0.02,1194
C00000066,B00000066,A0047,0.1,13680
C00000067,B00000067,A0003,0.03,1521
C00000068,B00000068,A0029,0.1,18160
C00000069,B00000069,A0060,0.02,748
C00000070,B00000070,A0039,0.02,5096
C00000071,B00000071,A0045,0.15,36075
C00000072,B00000072,A0059,0.1,12690
C00000073,B00000073,A0045,0.02,844
C00000074,B00000074,A0049,0.15,27300
C00000075,B00000075,A0007,0.1,26260
C00000076,B00000076,A0060,0.1,3720
C00000077,B00000077,A0004,0.03,5496
C00000078,B00000078,A0024,0.15,7965
C00000079,B00000079,A0059,0.15,82260
C00000080,B00000080,A0033,0.05,10710
C00000081,B00000081,A0017,0.15,21750
C00000082,B00000082,A0025,0.03,6516
C00000083,B00000083,A0044,0.05,2310
C00000084,B00000084,A0056,0.15,26580
C00000085,B00000085,A0003,0.05,6030
C00000086,B00000086,A0009,0.15,17640
C00000087,B00000087,A0030,0.02,726
C00000088,B00000088,A0024,0.15,10980
C00000089,B00000089,A0052,0.03,5796
C00000090,B00000090,A0035,0.15,24360
C00000091,B00000091,A0054,0.15,33300
C00000092,B00000092,A0013,0.02,4400
C00000093,B00000093,A0030,0.15,8865
C00000094,B00000094,A0021,0.02,5064
C00000095,B00000095,A0009,0.02,7200
C00000096,B00000096,A0050,0.02,832
C00000097,B00000097,A0034,0.05,10780
C00000098,B00000098,A0041,0.03,4509
C00000099,B00000099,A0017,0.02,368
C00000100,B00000100,A0052,0.15,36270
C00000101,B00000101,A0017,0.1,7480
C00000102,B00000102,A0012,0.1,17710
C00000103,B00000103,A0012,0.02,2544
C00000104,B00000104,A0024,0.03,684
C00000105,B00000105,A0053,0.03,14196
C00000106,B00000106,A0060,0.15,42660
C00000107,B00000107,A0008,0.15,20160
C00000108,B00000108,A0024,0.03,4992
C00000109,B00000109,A0045,0.05,9640
C00000110,B00000110,A0023,0.02,320
C00000111,B00000111,A0018,0.05,1610
C00000112,B00000112,A0040,0.15,37080
C00000113,B00000113,A0027,0.05,1320
C00000114,B00000114,A0043,0.02,3144
C00000115,B00000115,A0030,0.05,20385
C00000116,B00000116,A0005,0.02,1560
C00000117,B00000117,A0023,0.05,7425
C00000118,B00000118,A0036,0.15,36855
C00000119,B00000119,A0029,0.15,20655
C00000120,B00000120,A0014,0.03,31752
C00000121,B00000121,A0010,0.15,26400
C00000122,B00000122,A0012,0.1,31400
C00000123,B00000123,A0023,0.1,31080
C00000124,B00000124,A0010,0.03,2556
C00000125,B00000125,A0051,0.02,2448
C00000126,B00000126,A0049,0.02,1408
C00000127,B00000127,A0021,0.15,11130
C00000128,B00000128,A0040,0.02,3616
C00000129,B00000129,A0040,0.15,28440
C00000130,B00000130,A0049,0.1,32200
C00000131,B00000131,A0019,0.02,2870
C00000132,B00000132,A0015,0.15,19650
C00000133,B00000133,A0020,0.15,33120
C00000134,B00000134,A0057,0.15,13725
C00000135,B00000135,A0010,0.02,4020
C00000136,B00000136,A0059,0.03,9204
C00000137,B00000137,A0047,0.1,84140
C00000138,B00000138,A0009,0.1,17200
C00000139,B00000139,A0009,0.15,25380
C00000140,B00000140,A0060,0.02,7968
C00000141,B00000141,A0028,0.15,76140
C00000142,B00000142,A0057,0.15,109515
C00000143,B00000143,A0050,0.1,16450
C00000144,B00000144,A0058,0.02,2254
C00000145,B00000145,A0045,0.02,1914
C00000146,B00000146,A0040,0.15,17640
C00000147,B00000147,A0019,0.05,15330
C00000148,B00000148,A0016,0.1,12800
C00000149,B00000149,A0003,0.03,10470
C00000150,B00000150,A0043,0.15,49200
C00000151,B00000151,A0053,0.02,3510
C00000152,B00000152,A0004,0.1,14740
C00000153,B00000153,A0017,0.15,62460
C00000154,B00000154,A0001,0.02,9372
C00000155,B00000155,A0001,0.15,11925
C00000156,B00000156,A0040,0.15,41220
C00000157,B00000157,A0058,0.02,11934
C00000158,B00000158,A0052,0.15,26700
C00000159,B00000159,A0046,0.02,1640
C00000160,B00000160,A0051,0.15,3870
C00000161,B00000161,A0050,0.15,7020
C00000162,B00000162,A0056,0.1,2210
C00000163,B00000163,A0018,0.02,5520
C00000164,B00000164,A0036,0.02,9528
C00000165,B00000165,A0007,0.05,6300
C00000166,B00000166,A0046,0.02,10296
C00000167,B00000167,A0031,0.15,123270
C00000168,B00000168,A0023,0.15,8280
C00000169,B00000169,A0051,0.02,2030
C00000170,B00000170,A0028,0.1,8700
C00000171,B00000171,A0021,0.02,3824
C00000172,B00000172,A0006,0.02,14000
C00000173,B00000173,A0029,0.1,13440
C00000174,B00000174,A0006,0.02,2466
C00000175,B00000175,A0008,0.15,38430
C00000176,B00000176,A0009,0.02,27583
C00000177,B00000177,A0047,0.15,9450
C00000178,B00000178,A0036,0.15,12420
C00000179,B00000179,A0037,0.15,23250
C00000180,B00000180,A0006,0.1,49680
C00000181,B00000181,A0031,0.15,18240
C00000182,B00000182,A0048,0.15,2550
C00000183,B00000183,A0033,0.02,888
C00000184,B00000184,A0017,0.15,20160
C00000185,B00000185,A0050,0.15,39120
C00000186,B00000186,A0026,0.02,18864
C00000187,B00000187,A0001,0.03,6600
C00000188,B00000188,A0022,0.15,6150
C00000189,B00000189,A0021,0.02,598
C00000190,B00000190,A0002,0.03,13290
C00000191,B00000191,A0025,0.1,202410
