payment_id,booking_id,payment_date,amount_cents,payment_method,payment_status
P00000001,B00000001,2025-08-02,68100,Debit Card,settled
P00000002,B00000002,2026-02-13,71688,Bank Transfer,settled
P00000003,B00000004,2025-04-11,80000,Credit Card,settled
P00000004,B00000005,2026-03-20,256300,Points,settled
P00000005,B00000006,2025-03-18,162800,Bank Transfer,settled
P00000006,B00000007,2025-12-02,88400,Bank Transfer,settled
P00000007,B00000008,2024-11-14,127400,Bank Transfer,settled
P00000008,B00000009,2026-01-29,568800,Debit Card,settled
P00000009,B00000010,2025-10-21,233700,Points,settled
P00000010,B00000011,2025-09-29,521384,Debit Card,settled
P00000011,B00000012,2025-03-05,771400,Debit Card,settled
P00000012,B00000013,2025-06-06,1328800,Debit Card,settled
P00000013,B00000014,2025-06-03,139300,Credit Card,settled
P00000014,B00000015,2025-11-26,370700,Bank Transfer,settled
P00000015,B00000016,2025-07-05,136800,Points,settled
P00000016,B00000017,2024-02-12,128000,Credit Card,settled
P00000017,B00000018,2025-10-03,1417000,Points,settled
P00000018,B00000019,2025-12-26,162800,Debit Card,settled
P00000019,B00000020,2025-10-13,81000,Debit Card,settled
P00000020,B00000021,2024-03-27,572800,Credit Card,settled
P00000021,B00000022,2025-05-21,546000,Credit Card,settled
P00000022,B00000022,2025-07-05,-83442,Credit Card,refunded
P00000023,B00000023,2024-12-21,274800,Bank Transfer,settled
P00000024,B00000024,2024-05-23,228200,Points,settled
P00000025,B00000025,2026-03-14,152600,Debit Card,settled
P00000026,B00000025,2026-04-06,-152600,Points,refunded
P00000027,B00000026,2024-07-17,152000,Debit Card,settled
P00000028,B00000027,2026-02-27,212000,Debit Card,settled
P00000029,B00000028,2024-02-28,727100,Bank Transfer,settled
P00000030,B00000029,2024-10-01,206800,Points,settled
P00000031,B00000030,2024-01-22,118300,Debit Card,settled
P00000032,B00000031,2024-06-02,142000,Points,settled
P00000033,B00000032,2025-03-26,1314500,Points,settled
P00000034,B00000033,2025-10-04,91600,Credit Card,settled
P00000035,B00000034,2026-02-04,75200,Credit Card,settled
P00000036,B00000034,2026-02-22,-75200,Credit Card,refunded
P00000037,B00000035,2025-08-12,410400,Points,settled
P00000038,B00000036,2025-09-12,121100,Bank Transfer,settled
P00000039,B00000037,2025-12-12,228000,Debit Card,settled
P00000040,B00000038,2026-01-08,237600,Credit Card,settled
P00000041,B00000039,2025-10-02,219600,Credit Card,settled
P00000042,B00000040,2024-03-12,162500,Debit Card,settled
P00000043,B00000041,2024-07-04,553000,Bank Transfer,settled
P00000044,B00000042,2025-03-24,1569100,Debit Card,settled
P00000045,B00000043,2025-09-27,218000,Credit Card,settled
P00000046,B00000043,2025-11-08,-25046,Credit Card,refunded
P00000047,B00000044,2024-08-17,254800,Credit Card,settled
P00000048,B00000045,2024-12-18,200200,Credit Card,settled
P00000049,B00000046,2025-08-27,46400,Points,settled
P00000050,B00000048,2025-10-09,99500,Credit Card,settled
P00000051,B00000049,2024-03-21,444900,Points,settled
P00000052,B00000050,2025-05-18,1027600,Credit Card,settled
P00000053,B00000051,2025-11-19,252800,Credit Card,settled
P00000054,B00000052,2024-04-21,330400,Bank Transfer,settled
P00000055,B00000053,2025-10-30,137600,Debit Card,settled
P00000056,B00000054,2025-07-24,40800,Bank Transfer,settled
P00000057,B00000055,2024-08-10,245123,Points,settled
P00000058,B00000055,2024-08-10,85877,Credit Card,pending
P00000059,B00000056,2024-09-26,152000,Debit Card,settled
P00000060,B00000057,2025-11-16,202800,Bank Transfer,settled
P00000061,B00000058,2025-04-16,249200,Points,settled
P00000062,B00000059,2024-06-14,118841,Credit Card,settled
P00000063,B00000059,2024-07-12,157159,Credit Card,pending
P00000064,B00000060,2024-11-23,16800,Points,settled
P00000065,B00000061,2024-06-26,141300,Debit Card,settled
P00000066,B00000062,2026-01-31,114600,Bank Transfer,settled
P00000067,B00000063,2025-10-12,210600,Bank Transfer,settled
P00000068,B00000063,2025-10-31,-34709,Debit Card,refunded
P00000069,B00000064,2026-02-15,245000,Points,settled
P00000070,B00000065,2024-06-25,59700,Debit Card,settled
P00000071,B00000066,2025-07-12,136800,Debit Card,settled
P00000072,B00000067,2024-05-09,50700,Bank Transfer,settled
P00000073,B00000068,2025-07-29,181600,Bank Transfer,settled
P00000074,B00000069,2025-11-13,22505,Debit Card,settled
P00000075,B00000069,2025-10-24,14895,Debit Card,pending
P00000076,B00000070,2025-08-29,254800,Points,settled
P00000077,B00000071,2025-03-21,176737,Points,settled
P00000078,B00000071,2025-03-23,63763,Bank Transfer,pending
P00000079,B00000072,2024-12-10,126900,Credit Card,settled
P00000080,B00000073,2025-04-03,42200,Bank Transfer,settled
P00000081,B00000074,2025-05-04,182000,Debit Card,settled
P00000082,B00000074,2025-05-26,-39226,Debit Card,refunded
P00000083,B00000075,2025-06-26,262600,Credit Card,settled
P00000084,B00000076,2025-04-05,40483,Bank Transfer,settled
P00000085,B00000077,2025-12-22,183200,Debit Card,settled
P00000086,B00000078,2025-10-15,53100,Credit Card,settled
P00000087,B00000079,2025-08-04,548400,Points,settled
P00000088,B00000079,2025-09-16,-548400,Credit Card,refunded
P00000089,B00000081,2025-04-18,145000,Points,settled
P00000090,B00000082,2024-10-25,217200,Debit Card,settled
P00000091,B00000083,2024-05-29,47758,Debit Card,settled
P00000092,B00000084,2024-08-04,177200,Points,settled
P00000093,B00000085,2025-04-07,120600,Bank Transfer,settled
P00000094,B00000086,2025-09-14,117600,Points,settled
P00000095,B00000087,2025-11-24,17237,Debit Card,settled
P00000096,B00000087,2025-11-25,19063,Points,pending
P00000097,B00000088,2025-06-27,73200,Debit Card,settled
P00000098,B00000089,2025-08-28,193200,Points,settled
P00000099,B00000090,2025-02-01,162400,Debit Card,settled
P00000100,B00000091,2024-05-07,222000,Points,settled
P00000101,B00000091,2024-06-21,-222000,Bank Transfer,refunded
P00000102,B00000092,2025-11-02,220000,Credit Card,settled
P00000103,B00000093,2024-08-22,59100,Credit Card,settled
