resort_id,resort_name,city,state,country,region,room_count,opened_date
R0001,Cabana North Judithbury,East Jill,TX,USA,Caribbean,105,2017-08-08
R0002,Cabana New Roberttown,East Jessetown,OH,USA,Pacific,330,2008-05-20
R0003,Cabana Robinsonshire,Lisatown,WV,USA,Gulf Coast,222,2018-09-17
R0004,Cabana Lake Roberto,Ericmouth,CT,USA,Caribbean,169,2006-07-31
R0005,Cabana Davisstad,Lindsaymouth,ND,USA,Mediterranean,512,2007-02-15
R0006,Cabana Millerport,Barbaraland,AZ,USA,Caribbean,110,2016-04-01
R0007,Cabana Port Keith,Port Jesseville,MS,USA,Caribbean,303,2009-09-24
R0008,Cabana Reidstad,West Michael,TN,USA,Gulf Coast,597,2009-07-17
R0009,Cabana New Cynthiaside,East Steven,KY,USA,Mediterranean,107,2021-11-01
R0010,Cabana Lake Mark,East Lydiamouth,MO,USA,Mediterranean,283,2009-07-22
R0011,Cabana East Robinshire,Jasonfort,MO,USA,Mediterranean,509,2020-01-20
R0012,Cabana Thomasberg,Lake Anna,KS,USA,Gulf Coast,539,2017-09-16
R0013,Cabana Hurstfurt,Jeffreyberg,NY,USA,Mediterranean,364,2013-05-25
R0014,Cabana Port Brandonville,Lake Ernest,TX,USA,Caribbean,243,2012-03-08
R0015,Cabana South Patrickmouth,Tashatown,TX,USA,Mountain,428,2017-04-06
R0016,Cabana Lake Nicoleview,Danielchester,GA,USA,Pacific,239,2012-09-20
R0017,Cabana Lake Nancyview,New Rita,VI,USA,Gulf Coast,424,2015-08-22
R0018,Cabana Meaganhaven,East Nathaniel,GA,USA,Caribbean,174,2014-03-06
R0019,Cabana New Mariotown,West Natashaport,IA,USA,Mountain,179,2005-12-26
R0020,Cabana New Stacey,Lake Toddland,WV,USA,Pacific,432,2014-01-24
R0021,Cabana East Donna,West Allison,PA,USA,Mediterranean,350,2012-03-14
R0022,Cabana New Karina,Lake Larry,TN,USA,Caribbean,550,2016-01-22
R0023,Cabana Samuelhaven,Martinezbury,CA,USA,Mediterranean,207,2010-10-02
R0024,Cabana New Angelashire,North Chad,SC,USA,Mountain,160,2006-01-01
R0025,Cabana North Rebecca,Chadbury,KY,USA,Mediterranean,380,2016-05-19
R0026,Cabana Lewisberg,Sanchezfort,AS,USA,Mediterranean,450,2011-12-05
R0027,Cabana North Collin,Gomezchester,NH,USA,Mediterranean,276,2019-09-12
R0028,Cabana Lake Deniseville,South Jessicaville,IA,USA,Caribbean,126,2008-04-05
R0029,Cabana New Shane,Whitemouth,IA,USA,Gulf Coast,376,2019-11-17
R0030,Cabana South Lindseyside,North Deniseside,MP,USA,Caribbean,318,2005-04-02
R0031,Cabana Port Melindaburgh,Tuckerborough,VI,USA,Caribbean,469,2011-10-28
R0032,Cabana East Nicholasfurt,Saramouth,LA,USA,Pacific,544,2012-03-13
R0033,Cabana Mooreport,North Beth,ND,USA,Pacific,246,2006-01-14
R0034,Cabana Brianshire,Shawhaven,GA,USA,Pacific,443,2005-12-20
R0035,Cabana Port Jacobland,South David,FM,USA,Gulf Coast,353,2014-09-10
R0036,Cabana New Brooke,South Dianeshire,NC,USA,Caribbean,255,2010-05-20
R0037,Cabana Jamesmouth,West Randy,TN,USA,Mediterranean,330,2015-12-26
R0038,Cabana Stephenland,South Christineshire,CT,USA,Gulf Coast,553,2006-04-01
R0039,Cabana New Joseph,Nicolebury,MN,USA,Mountain,356,2009-11-06
R0040,Cabana South Martha,Cherylhaven,AL,USA,Mediterranean,304,2016-05-12
